
========== Supervised Training Begin ==========

** Initial learning rate: 0.001000000 **

Time 0.35929, Epoch 1, Batch 29, Loss = 2.10633, Training Accuracy = 0.2200
Time 0.34367, Epoch 1, Batch 30, Loss = 2.12924, Training Accuracy = 0.2000
Time 0.34367, Epoch 1, Batch 31, Loss = 2.23858, Training Accuracy = 0.1600
Time 0.34367, Epoch 1, Batch 32, Loss = 2.11066, Training Accuracy = 0.1300
Time 0.33938, Epoch 1, Batch 33, Loss = 2.01261, Training Accuracy = 0.2400
Time 0.34367, Epoch 1, Batch 34, Loss = 2.26458, Training Accuracy = 0.1700
Time 0.34367, Epoch 1, Batch 35, Loss = 2.17778, Training Accuracy = 0.2100
Time 0.35929, Epoch 1, Batch 36, Loss = 2.23045, Training Accuracy = 0.1400
Time 0.35929, Epoch 1, Batch 37, Loss = 2.17420, Training Accuracy = 0.2700
Time 0.34367, Epoch 1, Batch 38, Loss = 2.20257, Training Accuracy = 0.2000
Time 0.35929, Epoch 1, Batch 39, Loss = 2.19627, Training Accuracy = 0.1500

Time 14.07055, Epoch 1, Average Loss = 2.20443, Training Average Accuracy = 0.1523

Time 0.39053, Epoch 2, Batch 0, Loss = 2.22196, Training Accuracy = 0.1400
Time 0.34367, Epoch 2, Batch 1, Loss = 2.19578, Training Accuracy = 0.1700
Time 0.35929, Epoch 2, Batch 2, Loss = 2.21050, Training Accuracy = 0.1100
Time 0.34367, Epoch 2, Batch 3, Loss = 2.13152, Training Accuracy = 0.1800
Time 0.34367, Epoch 2, Batch 4, Loss = 2.23214, Training Accuracy = 0.1400
Time 0.34367, Epoch 2, Batch 5, Loss = 2.22405, Training Accuracy = 0.1200
Time 0.34367, Epoch 2, Batch 6, Loss = 2.20430, Training Accuracy = 0.1400
Time 0.35929, Epoch 2, Batch 7, Loss = 2.13909, Training Accuracy = 0.2400
Time 0.34367, Epoch 2, Batch 8, Loss = 2.11888, Training Accuracy = 0.1800
Time 0.35929, Epoch 2, Batch 9, Loss = 2.13862, Training Accuracy = 0.1200
Time 0.35929, Epoch 2, Batch 10, Loss = 2.07329, Training Accuracy = 0.1400
Time 0.34367, Epoch 2, Batch 11, Loss = 2.18356, Training Accuracy = 0.1300
Time 0.35929, Epoch 2, Batch 12, Loss = 2.14410, Training Accuracy = 0.1600
Time 0.35929, Epoch 2, Batch 13, Loss = 2.17278, Training Accuracy = 0.0900
Time 0.35929, Epoch 2, Batch 14, Loss = 2.23920, Training Accuracy = 0.1200
Time 0.34367, Epoch 2, Batch 15, Loss = 2.09804, Training Accuracy = 0.1300
Time 0.34367, Epoch 2, Batch 16, Loss = 2.12072, Training Accuracy = 0.1400
Time 0.34367, Epoch 2, Batch 17, Loss = 2.04062, Training Accuracy = 0.1400
Time 0.34367, Epoch 2, Batch 18, Loss = 2.10126, Training Accuracy = 0.1900
Time 0.35929, Epoch 2, Batch 19, Loss = 2.13247, Training Accuracy = 0.1800
Time 0.34367, Epoch 2, Batch 20, Loss = 2.17347, Training Accuracy = 0.1900
Time 0.35929, Epoch 2, Batch 21, Loss = 2.00521, Training Accuracy = 0.2600
Time 0.34367, Epoch 2, Batch 22, Loss = 2.11641, Training Accuracy = 0.2200
Time 0.34367, Epoch 2, Batch 23, Loss = 2.03735, Training Accuracy = 0.1800
Time 0.35929, Epoch 2, Batch 24, Loss = 2.20265, Training Accuracy = 0.1400
Time 0.34367, Epoch 2, Batch 25, Loss = 2.10267, Training Accuracy = 0.1800
Time 0.34367, Epoch 2, Batch 26, Loss = 2.12278, Training Accuracy = 0.2000
Time 0.35929, Epoch 2, Batch 27, Loss = 2.06303, Training Accuracy = 0.1500
Time 0.35929, Epoch 2, Batch 28, Loss = 2.13394, Training Accuracy = 0.2000
